barrier,price
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0.0521761
112,0.114496
113,0.165701
114,0.242516
115,0.361698
116,0.429924
117,0.548945
118,0.656287
119,0.77545
120,0.921898
121,1.04012
122,1.17824
123,1.27502
124,1.37869
125,1.46862
126,1.54389
127,1.61115
128,1.66896
129,1.72207
130,1.76896
131,1.81259
132,1.84333
133,1.8758
134,1.90397
135,1.92323
136,1.94712
137,1.95837
138,1.97066
139,1.97489
140,1.98534
141,1.99275
142,1.99808
143,1.99922
144,2.00227
145,2.00481
146,2.00672
147,2.00767
148,2.00885
149,2.00985
150,2.01072
